
100 0.000173
600 0.006119
1100 0.010735
1600 0.009035
2100 0.013578
2600 0.01434
3100 0.0275
3600 0.038321
4100 0.04376
4600 0.054026
5100 0.066225
5600 0.083784
6100 0.106125
6600 0.120246
7100 0.140123
7600 0.156121
8100 0.189218
8600 0.213984
9100 0.227041
9600 0.262486
10100 0.287674
10600 0.331611
11100 0.369884
11600 0.397981
12100 0.431323
12600 0.475612
13100 0.515615
13600 0.548344
14100 0.600734
14600 0.654918
15100 0.703513
15600 0.742607
16100 0.804324
16600 0.850192
17100 0.906217
17600 0.963365
18100 1.01295
18600 1.08493
19100 1.13184
19600 1.20281
20100 1.28129
20600 1.30981
21100 1.3823
21600 1.44845
22100 1.54207
22600 1.59777
23100 1.64741
23600 1.81454
24100 1.81367
24600 1.9122
25100 1.999
25600 2.06811
26100 2.15469
26600 2.25151
27100 2.33391
27600 2.40322
28100 2.51516
28600 2.60113
29100 2.70266
29600 2.90347
